event,hitTime,isDN,pmtID
0,249.99261,False,14175
0,40.01031,False,17319
0,162.1232,False,16882
0,51.875614,False,14951
0,79.8175,False,10947
0,32.842213,False,16876
0,56.05916,False,13779
0,58.13139,False,4524
0,67.9348,False,6763
0,571.8404,False,4940
0,155.13583,False,5520
0,198.41858,False,6328
0,196.55762,False,1221
0,137.64401,False,14977
0,79.51083,False,17325
0,103.32527,False,10957
0,139.58652,False,11321
0,57.754295,False,14785
0,129.17982,False,9883
0,110.66337,False,4692
0,70.06121,False,3453
0,55.264816,False,3626
0,37.932735,False,16435
0,37.167225,False,15589
0,85.175095,False,6991
0,138.51247,False,7851
0,162.08977,False,14490
0,173.13371,False,6570
0,135.85146,False,3110
0,397.10034,False,15566
0,76.309044,False,17068
0,30.32058,False,7204
0,28.915829,False,17097
0,130.93956,False,11485
0,46.47327,False,8082
0,38.981796,False,15372
0,37.04786,False,7208
0,145.08563,False,16276
0,221.61086,False,17227
0,45.25751,False,7666
0,173.41812,False,17221
0,64.30756,False,16863
0,107.86343,False,196
0,80.68375,False,1539
0,120.87058,False,11075
0,39.439465,False,7202
0,128.90057,False,1504
0,262.90314,False,12250
0,58.77034,False,5942
0,40.37354,False,16860
0,53.069016,False,6995
0,52.774788,False,16222
0,49.175133,False,7187
0,75.48441,False,4751
0,385.62796,False,13437
0,73.982254,False,13968
0,52.935036,False,17561
0,29.467627,False,7655
0,34.557137,False,6775
0,116.48118,False,13
0,103.1109,False,14109
0,117.61408,False,8332
0,184.76912,False,15069
0,40.39264,False,16676
0,30.32566,False,17325
0,59.85108,False,7405
0,80.530045,False,15787
0,31.74736,False,6346
0,72.248985,False,7004
0,66.53216,False,15801
0,38.640976,False,6331
0,45.28987,False,14340
0,69.143585,False,2643
0,30.321133,False,17091
0,36.210228,False,7651
0,99.92991,False,5986
0,136.44347,False,5484
0,35.6446,False,15986
0,34.822388,False,6555
0,57.84322,False,4919
0,40.070107,False,6775
0,74.104004,False,3614
0,50.930622,False,13582
0,57.986134,False,15361
0,36.679565,False,17086
0,54.62535,False,7885
0,37.23742,False,6142
0,52.75608,False,14145
0,141.38692,False,1932
0,91.583824,False,11693
0,47.032017,False,4365
0,27.78617,False,17551
0,33.832985,False,7653
0,63.11613,False,16241
0,98.353004,False,1626
0,35.35367,False,6775
0,98.7854,False,2049
0,293.08978,False,12142
0,28.88768,False,7423
0,156.61534,False,15663
0,103.31148,False,8338
0,51.31808,False,16678
0,96.3996,False,7627
0,65.35606,False,2487
0,124.15898,False,16001
0,129.95808,False,11564
0,85.481125,False,12347
0,42.337463,False,7189
0,95.15389,False,13994
0,111.5009,False,599
0,34.889786,False,17547
0,60.68634,False,8550
0,98.869835,False,5747
0,38.045242,False,6759
0,37.690567,False,6145
0,52.89197,False,4739
0,111.98304,False,1920
0,179.8584,False,10115
0,40.858047,False,7437
0,25.814728,False,7872
0,86.893776,False,1903
0,34.16757,False,15800
0,247.58833,False,11473
0,67.50537,False,2483
0,67.34879,False,17122
0,344.4163,False,12725
0,344.7507,False,608
0,101.03176,False,14120
0,97.425285,False,2353
0,35.609245,False,7882
0,99.557175,False,5324
0,48.119022,False,7885
0,176.78746,False,7137
0,77.283615,False,16687
0,52.496094,False,14570
0,43.205418,False,6758
0,32.697445,False,16872
0,66.88565,False,4737
0,98.792534,False,5954
0,127.959915,False,5316
0,64.02971,False,15584
0,76.33468,False,11808
0,47.094994,False,16447
0,104.01526,False,8748
0,194.05078,False,6502
0,60.329147,False,6534
0,47.367657,False,8771
0,30.8547,False,6989
0,124.99123,False,15011
0,34.045223,False,17323
0,49.21674,False,14141
0,120.80896,False,4317
0,218.47366,False,17319
0,164.75346,False,8904
0,58.675705,False,16685
0,44.328953,False,6977
0,48.08354,False,8077
0,81.38555,False,11991
0,70.506546,False,13596
0,86.48686,False,16010
0,44.12344,False,17104
0,68.45133,False,15801
0,40.967503,False,6544
0,103.38458,False,17052
0,73.0182,False,12159
0,37.742737,False,8746
0,100.99807,False,13237
0,142.13177,False,7808
0,96.58758,False,13591
0,82.94643,False,6362
0,33.55349,False,7433
0,31.874468,False,6142
0,52.72219,False,16459
0,50.163216,False,17091
0,292.2814,False,6751
0,167.59901,False,7105
0,77.32305,False,5500
0,61.73561,False,13023
0,109.38435,False,1554
0,36.34438,False,6332
0,37.5699,False,8291
0,200.06989,False,14610
0,27.300447,False,8534
0,167.44984,False,3254
0,101.95185,False,1779
0,114.26004,False,9616
0,56.82213,False,8741
0,220.53221,False,8093
0,152.21687,False,16813
0,158.02095,False,3205
0,41.596176,False,17334
0,81.13097,False,5746
0,237.31123,False,15983
0,31.66765,False,8759
0,248.91928,False,2468
0,77.70014,False,11988
0,65.67856,False,6349
0,263.73523,False,13738
0,33.76805,False,6562
0,162.07364,False,15974
0,81.249504,False,2800
0,115.5817,False,5515
0,76.51311,False,3621
0,42.860973,False,8287
0,102.885,False,2907
0,32.353683,False,6142
0,93.74452,False,3261
0,85.30792,False,8041
0,48.400005,False,14964
0,220.15904,False,11696
0,33.48688,False,17092
0,59.443798,False,3281
0,141.0417,False,11573
0,34.82377,False,7876
0,180.19957,False,6302
0,83.0147,False,4762
0,52.331917,False,4363
0,47.89107,False,14958
0,48.32563,False,14142
0,56.11498,False,5116
0,70.88183,False,15814
0,51.829174,False,15975
0,127.694336,False,16183
0,87.08657,False,17555
0,48.35867,False,5121
0,45.868023,False,7431
0,137.95477,False,2173
0,103.30743,False,17314
0,200.96703,False,14071
0,200.47206,False,4175
0,154.39766,False,243
0,28.916086,False,17328
0,198.79814,False,17160
0,34.973484,False,6551
0,252.3969,False,6855
0,98.72233,False,16692
0,115.44396,False,3999
0,33.048847,False,7204
0,74.420845,False,7197
0,77.459564,False,17535
0,54.72901,False,6138
